,year,region,installed,tech,agent,category,sector,capital_costs
520,2055,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
201,2035,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
423,2050,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
337,2045,R1,2035,gasboiler,A1,retrofit,residential,525.263.151.895
464,2050,R1,2045,gasboiler,A3,retrofit,residential,433.421.048.132
218,2035,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
657,2060,R1,2050,gassupply1,A1,retrofit,gas,10.894.112
224,2035,R1,2025,gassupply1,A1,retrofit,gas,4.280.629.616.893
442,2050,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
588,2060,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
114,2030,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
93,2030,R1,2025,gasboiler,A2,retrofit,residential,177.236.839.855
398,2045,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
391,2045,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
173,2035,R1,2030,heatpump,A2,retrofit,residential,1.188.157.894.737
143,2030,R1,2025,gassupply1,A1,retrofit,gas,5.707.506.155.858
388,2045,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
466,2050,R1,2040,gasboiler,A3,retrofit,residential,184.736.842.105
302,2040,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
58,2025,R1,2030,gasCCGT,A1,retrofit,power,11.891.171.995
415,2050,R1,2040,gasboiler,A1,retrofit,residential,123.157.894.737
615,2060,R1,2030,gasboiler,A2,retrofit,residential,3.00E-08
104,2030,R1,2030,gasboiler,A3,retrofit,residential,0.990789496
362,2045,R1,2040,gasboiler,A3,retrofit,residential,0.923684211
324,2045,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
634,2060,R1,2050,gasboiler,A3,retrofit,residential,184.736.842.105
412,2045,R1,2035,gassupply1,A1,retrofit,gas,6.877.614.481.784
444,2050,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
272,2040,R1,2035,gasboiler,A3,retrofit,residential,131.315.787.974
425,2050,R1,2045,gasboiler,A1,retrofit,residential,288.947.365.421
404,2045,R1,2035,gassupply1,A1,retrofit,gas,5.158.210.861.338
105,2030,R1,2025,gasboiler,A3,retrofit,residential,177.236.839.855
314,2040,R1,2030,gassupply1,A1,retrofit,gas,5.184.961.775.248
631,2060,R1,2050,gasboiler,A3,retrofit,residential,277.105.263.158
605,2060,R1,2055,gasboiler,A2,retrofit,residential,216.710.524.066
443,2050,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
459,2050,R1,2025,gasboiler,A3,retrofit,residential,2.25E-08
39,2025,R1,2025,heatpump,A1,retrofit,residential,2.642.105.263.158
310,2040,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
180,2035,R1,2025,gasboiler,A3,retrofit,residential,1.50E-08
467,2050,R1,2045,gasboiler,A3,retrofit,residential,288.947.365.421
