,year,commodity,region,installed,technology,agent,category,sector,consumption
1,2050,gas,R1,2040,gasboiler,A3,retrofit,residential,0.61074
2,2040,gas,R1,2030,gasboiler,A3,retrofit,residential,0.26187
3,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,2.26E-05
4,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
5,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,0.771786658
6,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.1503
7,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.044306066
8,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.1204
9,2055,gas,R1,2045,gasboiler,A3,retrofit,residential,0.477629995
10,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.318419997
11,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.1004
12,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.40716
13,2055,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
14,2035,wind,R1,2024,windturbine,A1,retrofit,power,0.021595109
15,2050,gas,R1,2040,gasboiler,A2,retrofit,residential,0.30537
16,2055,gas,R1,2050,gasboiler,A3,retrofit,residential,0.30537
17,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.27144
18,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,0.636839993
19,2035,wind,R1,2025,windturbine,A1,retrofit,power,0.044306066
20,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,0.636839993
21,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.1004
22,2055,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
23,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,1.50E-05
24,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.112725
25,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.520839993
26,2055,gas,R1,2045,gasboiler,A3,retrofit,residential,0.95525999
27,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.477629995
28,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
29,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,9.87E-09
30,2050,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
31,2035,gas,R1,2025,gasboiler,A2,retrofit,residential,0.390629995
32,2055,gas,R1,2045,gasboiler,A2,retrofit,residential,0.318419997
33,2055,gas,R1,2050,gasboiler,A2,retrofit,residential,0.40716
34,2050,gas,R1,2045,gasboiler,A2,retrofit,residential,0.318419997
35,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
36,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,115.767.998.678
37,2050,gas,R1,2045,gasboiler,A2,retrofit,residential,0.318419997
38,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.20358
39,2045,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
40,2060,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
41,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,0.385893329
42,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.434129995
43,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,0.347226662
44,2035,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
45,2055,gas,R1,2050,gasboiler,A1,retrofit,residential,0.27144
46,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,0.385893329
47,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
48,2030,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
49,2030,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
50,2035,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0602
51,2050,gas,R1,2040,gasboiler,A1,retrofit,residential,0.27144
52,2060,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
53,2035,gas,R1,2030,gasboiler,A3,retrofit,residential,0.26187
54,2040,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
55,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,0.754
56,2040,electricity,R1,2030,heatpump,A1,retrofit,residential,0.1204
57,2055,gas,R1,2045,gasboiler,A3,retrofit,residential,0.636839993
58,2035,wind,R1,2030,windturbine,A1,retrofit,power,0.096532544
59,2060,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
60,2045,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
61,2025,wind,R1,2024,windturbine,A1,retrofit,power,0.021933333
62,2035,wind,R1,2024,windturbine,A1,retrofit,power,0.028793479
63,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
64,2040,wind,R1,2030,windturbine,A1,retrofit,power,0.144798816
65,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,0.771786658
66,2030,gas,R1,2025,gasboiler,A1,retrofit,residential,0.520839993
67,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
68,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.390629995
69,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,1.131
70,2030,gas,R1,2024,gasCCGT,A1,retrofit,power,1.50E-05
71,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.30856
72,2060,gas,R1,2050,gasboiler,A3,retrofit,residential,0.40716
73,2045,gas,R1,2040,gasboiler,A3,retrofit,residential,0.30537
74,2035,wind,R1,2030,windturbine,A1,retrofit,power,0.144798816
75,2045,gas,R1,2040,gasboiler,A2,retrofit,residential,0.61074
76,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
77,2025,gas,R1,2024,gasboiler,A3,retrofit,residential,0.377
78,2035,gas,R1,2025,gasboiler,A3,retrofit,residential,0.78125999
