,year,region,technology,agent,category,sector,EAC
1,2025,R1,gassupply3,A1,retrofit,gas,2.183.824.958.731
2,2055,R1,gasboiler,A3,retrofit,residential,896.643.847.883
3,2060,R1,gasboiler,A3,retrofit,residential,212.260.823.583
4,2050,R1,heatpump,A1,retrofit,residential,960.669.781.881
5,2030,R1,gassupply2,A1,retrofit,gas,22.952.673.984.534
6,2050,R1,gasCCGT,A1,retrofit,power,0
7,2045,R1,gassupply3,A1,retrofit,gas,47.049.921.478.622
8,2035,R1,gasboiler,A1,retrofit,residential,1.017.052.469.245
9,2045,R1,gasboiler,A2,retrofit,residential,5.442.260.232
10,2050,R1,gasCCGT,A1,retrofit,power,0
11,2040,R1,gassupply2,A1,retrofit,gas,22.539.116.241.328
12,2025,R1,heatpump,A1,retrofit,residential,1.614.022.084.133
13,2030,R1,gasboiler,A2,retrofit,residential,1.052.863.940.193
14,2030,R1,heatpump,A2,retrofit,residential,824.228.520.182
15,2060,R1,gassupply2,A1,retrofit,gas,34.381.923.303.924
16,2060,R1,gasboiler,A2,retrofit,residential,896.643.847.883
17,2025,R1,gasboiler,A3,retrofit,residential,432.211.843.843
18,2035,R1,heatpump,A1,retrofit,residential,814.613.630.074
19,2055,R1,gassupply3,A1,retrofit,gas,33.368.922.565.193
20,2060,R1,heatpump,A2,retrofit,residential,1.297.951.734.984
21,2035,R1,gassupply2,A1,retrofit,gas,2.721.817.235.634
22,2030,R1,heatpump,A3,retrofit,residential,1.050.990.905.502
23,2045,R1,gasboiler,A1,retrofit,residential,7.256.346.976
24,2035,R1,gasboiler,A2,retrofit,residential,1.839.724.877.491
25,2030,R1,gasboiler,A2,retrofit,residential,751.820.196.329
26,2055,R1,gassupply1,A1,retrofit,gas,18.986.902.128.075
27,2030,R1,gassupply1,A1,retrofit,gas,8.566.333.265.182
28,2025,R1,gassupply2,A1,retrofit,gas,22.516.562.314.904
29,2030,R1,gassupply1,A1,retrofit,gas,23.533.912.557.054
30,2060,R1,gasboiler,A1,retrofit,residential,1.195.525.130.511
31,2055,R1,gasboiler,A3,retrofit,residential,1.254.515.563.006
32,2040,R1,heatpump,A3,retrofit,residential,1.445.192.739.757
33,2045,R1,heatpump,A3,retrofit,residential,977.164.466.456
34,2050,R1,gasCCGT,A1,retrofit,power,0
35,2050,R1,gassupply1,A1,retrofit,gas,12.842.227.667.764
36,2050,R1,heatpump,A2,retrofit,residential,1.303.539.648.688
37,2060,R1,gassupply3,A1,retrofit,gas,49.776.944.474.218
38,2050,R1,gasboiler,A1,retrofit,residential,119.796.229.717
39,2035,R1,gassupply3,A1,retrofit,gas,39.518.224.201.817
40,2040,R1,heatpump,A1,retrofit,residential,1.926.923.653.009
41,2030,R1,gassupply2,A1,retrofit,gas,30.287.404.132.322
42,2025,R1,gassupply3,A1,retrofit,gas,32.590.526.852.202
43,2060,R1,gassupply3,A1,retrofit,gas,65.856.064.183.384
44,2025,R1,heatpump,A1,retrofit,residential,1.006.084.372.151
45,2025,R1,heatpump,A2,retrofit,residential,754.563.279.113
46,2055,R1,gasboiler,A1,retrofit,residential,772.935.443.204
47,2050,R1,gassupply1,A1,retrofit,gas,18.986.902.128.075
48,2060,R1,gasboiler,A1,retrofit,residential,1.195.525.130.511
49,2025,R1,gassupply1,A1,retrofit,gas,840.629.686.849
50,2050,R1,gasboiler,A3,retrofit,residential,898.471.722.878
51,2055,R1,heatpump,A2,retrofit,residential,1.032.816.854.194
52,2030,R1,gassupply3,A1,retrofit,gas,43.985.090.704.739
53,2030,R1,gasboiler,A3,retrofit,residential,1.792.735.821.525
54,2055,R1,gasboiler,A1,retrofit,residential,772.935.443.204
55,2055,R1,gasboiler,A3,retrofit,residential,212.260.823.583
56,2050,R1,gassupply3,A1,retrofit,gas,33.368.922.565.193
57,2035,R1,gasboiler,A3,retrofit,residential,1.839.724.877.491
58,2030,R1,gasboiler,A3,retrofit,residential,485.247.787.557
59,2040,R1,heatpump,A1,retrofit,residential,1.226.245.604.964
60,2050,R1,gasboiler,A3,retrofit,residential,1.260.103.476.709
61,2025,R1,windturbine,A1,retrofit,power,142.902.624.241
62,2035,R1,gasCCGT,A1,retrofit,power,538.080.358.376
63,2060,R1,gasboiler,A1,retrofit,residential,2.830.144.314.439
64,2040,R1,gasboiler,A3,retrofit,residential,512.212.727.718
65,2045,R1,heatpump,A1,retrofit,residential,1.302.885.955.275
66,2035,R1,gasboiler,A3,retrofit,residential,490.741.041.115
67,2045,R1,gasCCGT,A1,retrofit,power,0
68,2035,R1,heatpump,A2,retrofit,residential,1.131.792.295.634
69,2035,R1,gassupply1,A1,retrofit,gas,7.703.032.220.028
70,2055,R1,gasCCGT,A1,retrofit,power,0
71,2025,R1,gassupply3,A1,retrofit,gas,32.590.526.852.202
72,2030,R1,gasboiler,A3,retrofit,residential,751.820.196.329
