Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
1,2060,R1,2025,gasboiler,2060,A3,0,retrofit,residential
2,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
3,2060,R1,2050,gasboiler,2060,A3,0,newcapa,residential
4,2055,R1,2055,gasboiler,2055,A1,0,retrofit,residential
5,2030,R1,2030,gassupply1,2030,A1,0,retrofit,gas
6,2055,R1,2025,gasboiler,2055,A1,0,newcapa,residential
7,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
8,2040,R1,2040,gasboiler,2040,A1,0,newcapa,residential
9,2060,R1,2050,gasboiler,2060,A2,0,newcapa,residential
10,2025,R1,2025,gasboiler,2025,A1,0,newcapa,residential
11,2055,R1,2045,gasboiler,2055,A3,0,retrofit,residential
12,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
13,2055,R1,2025,gasCCGT,2055,A1,0,newcapa,power
14,2055,R1,2025,gasboiler,2055,A3,0,retrofit,residential
15,2025,R1,2025,gasboiler,2025,A1,0,retrofit,residential
16,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
17,2050,R1,2040,gasboiler,2050,A1,0,retrofit,residential
18,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
19,2045,R1,2045,gassupply1,2045,A1,0,newcapa,gas
20,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
21,2060,R1,2045,gasboiler,2060,A1,0,newcapa,residential
22,2055,R1,2050,gassupply1,2055,A1,0,newcapa,gas
23,2030,R1,2030,heatpump,2030,A2,0,retrofit,residential
24,2055,R1,2040,gasboiler,2055,A2,0,newcapa,residential
25,2040,R1,2030,gassupply1,2040,A1,0,retrofit,gas
26,2060,R1,2040,gasboiler,2060,A1,0,newcapa,residential
27,2060,R1,2050,gasboiler,2060,A3,0,retrofit,residential
28,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
29,2045,R1,2025,gasCCGT,2045,A1,0,retrofit,power
30,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
31,2050,R1,2040,gasboiler,2050,A1,0,newcapa,residential
32,2055,R1,2050,gasboiler,2055,A2,0,retrofit,residential
33,2055,R1,2045,gasboiler,2055,A3,0,newcapa,residential
34,2050,R1,2025,gasCCGT,2050,A1,0,newcapa,power
35,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
36,2060,R1,2040,gasboiler,2060,A3,0,newcapa,residential
37,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
38,2055,R1,2050,gasboiler,2055,A2,0,retrofit,residential
39,2055,R1,2025,gasboiler,2055,A2,0,retrofit,residential
40,2035,R1,2030,heatpump,2035,A1,0,retrofit,residential
41,2040,R1,2030,windturbine,2040,A1,0,newcapa,power
42,2040,R1,2030,gasboiler,2040,A3,0,retrofit,residential
43,2060,R1,2040,gasboiler,2060,A1,0,newcapa,residential
44,2055,R1,2045,gasboiler,2055,A1,0,retrofit,residential
45,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
46,2050,R1,2025,gasboiler,2050,A1,0,retrofit,residential
47,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
48,2055,R1,2035,gasboiler,2055,A3,0,newcapa,residential
49,2045,R1,2035,gasboiler,2045,A1,0,retrofit,residential
50,2050,R1,2025,gasCCGT,2050,A1,0,retrofit,power
51,2040,R1,2030,heatpump,2040,A2,0,retrofit,residential
52,2055,R1,2050,gasboiler,2055,A2,0,newcapa,residential
53,2060,R1,2050,gasboiler,2060,A1,0,retrofit,residential
54,2050,R1,2030,windturbine,2050,A1,0,retrofit,power
55,2035,R1,2035,gasboiler,2035,A1,0,newcapa,residential
56,2050,R1,2040,gasboiler,2050,A3,0,newcapa,residential
57,2040,R1,2025,gasCCGT,2040,A1,0,retrofit,power
58,2055,R1,2045,gasboiler,2055,A2,0,retrofit,residential
59,2050,R1,2025,gasCCGT,2050,A1,0,newcapa,power
60,2060,R1,2040,gasboiler,2060,A2,0,newcapa,residential
61,2045,R1,2045,gasboiler,2045,A2,0,newcapa,residential
62,2060,R1,2040,gasboiler,2060,A3,0,newcapa,residential
63,2040,R1,2040,gasboiler,2040,A2,0,retrofit,residential
64,2025,R1,2025,gassupply1,2025,A1,0,retrofit,gas
65,2060,R1,2060,gasboiler,2060,A1,0,retrofit,residential
66,2060,R1,2050,gassupply2,2060,A1,0,newcapa,gas
67,2040,R1,2040,gassupply1,2040,A1,0,retrofit,gas
68,2045,R1,2035,gasboiler,2045,A3,0,retrofit,residential
69,2050,R1,2025,gasboiler,2050,A1,0,newcapa,residential
70,2050,R1,2045,gasboiler,2050,A1,0,newcapa,residential
71,2035,R1,2030,windturbine,2035,A1,0,retrofit,power
72,2060,R1,2025,gasboiler,2060,A3,0,newcapa,residential
73,2040,R1,2030,windturbine,2040,A1,0,newcapa,power
74,2060,R1,2025,gasCCGT,2060,A1,0,newcapa,power
75,2045,R1,2025,gasCCGT,2045,A1,0,retrofit,power
76,2045,R1,2030,windturbine,2045,A1,0,newcapa,power
77,2035,R1,2025,windturbine,2035,A1,0,retrofit,power
78,2060,R1,2050,gassupply2,2060,A1,0,retrofit,gas
79,2035,R1,2030,gassupply1,2035,A1,0,retrofit,gas
80,2045,R1,2040,gasboiler,2045,A2,0,retrofit,residential
81,2055,R1,2025,windturbine,2055,A1,0,newcapa,power
82,2060,R1,2050,gassupply2,2060,A1,0,retrofit,gas
83,2060,R1,2025,gasboiler,2060,A1,0,retrofit,residential
84,2045,R1,2045,gasboiler,2045,A2,0,retrofit,residential
85,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
86,2050,R1,2040,gasboiler,2050,A3,0,newcapa,residential
87,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
88,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
89,2055,R1,2050,gassupply2,2055,A1,0,newcapa,gas
90,2060,R1,2025,gasboiler,2060,A2,0,retrofit,residential
91,2055,R1,2040,gassupply1,2055,A1,0,newcapa,gas
92,2045,R1,2040,gasboiler,2045,A3,0,retrofit,residential
93,2060,R1,2055,gasboiler,2060,A2,0,retrofit,residential
94,2055,R1,2025,gasboiler,2055,A3,0,newcapa,residential
95,2045,R1,2035,gassupply1,2045,A1,0,retrofit,gas
96,2055,R1,2050,gassupply1,2055,A1,0,retrofit,gas
97,2055,R1,2050,gasboiler,2055,A2,0,newcapa,residential
98,2060,R1,2055,gasboiler,2060,A3,0,retrofit,residential
99,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
100,2035,R1,2030,heatpump,2035,A2,0,retrofit,residential
101,2055,R1,2045,gasboiler,2055,A3,0,retrofit,residential
102,2030,R1,2025,gassupply1,2030,A1,0,newcapa,gas
103,2060,R1,2060,gasboiler,2060,A1,0,retrofit,residential
104,2035,R1,2030,heatpump,2035,A1,0,retrofit,residential
105,2035,R1,2030,gassupply1,2035,A1,0,retrofit,gas
106,2050,R1,2040,gassupply1,2050,A1,0,retrofit,gas
107,2060,R1,2035,gasboiler,2060,A1,0,newcapa,residential
108,2055,R1,2025,gasboiler,2055,A2,0,newcapa,residential
109,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
110,2045,R1,2030,windturbine,2045,A1,0,retrofit,power
