Unnamed: 0,year,region,installed,technology,agent,category,sector,fuel_consumption_costs
1,2045,R1,2045,gasboiler,A3,newcapa,residential,0
2,2045,R1,2040,gasboiler,A1,retrofit,residential,0.722791348
3,2045,R1,2045,gasboiler,A2,newcapa,residential,0
4,2060,R1,2045,gasboiler,A2,newcapa,residential,0
5,2050,R1,2025,gasboiler,A2,retrofit,residential,2.64E-09
6,2030,R1,2025,windturbine,A1,retrofit,power,0
7,2060,R1,2045,gasboiler,A3,newcapa,residential,0
8,2045,R1,2025,windturbine,A1,retrofit,power,0
9,2040,R1,2035,gasboiler,A3,retrofit,residential,0.770668544
10,2040,R1,2030,heatpump,A1,retrofit,residential,0
11,2040,R1,2025,windturbine,A1,retrofit,power,0
12,2060,R1,2030,windturbine,A1,newcapa,power,0
13,2060,R1,2055,gasboiler,A1,retrofit,residential,122.963.123.183
14,2030,R1,2025,gasCCGT,A1,retrofit,power,1.20E-05
15,2055,R1,2055,gasboiler,A1,retrofit,residential,0
16,2060,R1,2025,gasCCGT,A1,retrofit,power,0
17,2055,R1,2050,gasboiler,A2,newcapa,residential,0
18,2060,R1,2045,gasboiler,A1,newcapa,residential,0
19,2040,R1,2040,gasboiler,A2,newcapa,residential,0
20,2060,R1,2025,windturbine,A1,newcapa,power,0
21,2055,R1,2030,windturbine,A1,retrofit,power,0
22,2025,R1,2025,windturbine,A1,newcapa,power,0
23,2060,R1,2055,gasboiler,A2,newcapa,residential,0
24,2035,R1,2035,gasboiler,A3,newcapa,residential,0
25,2050,R1,2025,gasboiler,A2,retrofit,residential,2.64E-09
26,2030,R1,2030,windturbine,A1,retrofit,power,0
27,2045,R1,2025,windturbine,A1,newcapa,power,0
28,2030,R1,2030,heatpump,A1,newcapa,residential,0
29,2060,R1,2045,gasboiler,A2,newcapa,residential,0
30,2035,R1,2025,gasboiler,A3,retrofit,residential,0
31,2030,R1,2025,windturbine,A1,retrofit,power,0
32,2060,R1,2060,gasboiler,A3,retrofit,residential,0
33,2055,R1,2030,windturbine,A1,newcapa,power,0
34,2050,R1,2025,gasCCGT,A1,newcapa,power,0
35,2050,R1,2035,gasboiler,A1,newcapa,residential,0
36,2045,R1,2025,windturbine,A1,newcapa,power,0
37,2040,R1,2025,windturbine,A1,newcapa,power,0
38,2060,R1,2055,gasboiler,A1,retrofit,residential,0
39,2040,R1,2040,gasboiler,A1,newcapa,residential,0
40,2050,R1,2030,windturbine,A1,retrofit,power,0
41,2035,R1,2035,gasboiler,A2,retrofit,residential,0
42,2050,R1,2040,gasboiler,A1,retrofit,residential,0
43,2060,R1,2055,gasboiler,A1,newcapa,residential,0
44,2030,R1,2025,gasboiler,A2,retrofit,residential,0
45,2060,R1,2045,gasboiler,A2,newcapa,residential,0
46,2060,R1,2050,gasboiler,A2,retrofit,residential,0
47,2060,R1,2055,gasboiler,A2,retrofit,residential,0.922223424
48,2045,R1,2035,gasboiler,A1,retrofit,residential,0.307935572
49,2045,R1,2045,gasboiler,A2,newcapa,residential,0
50,2040,R1,2030,gasboiler,A3,retrofit,residential,0
51,2035,R1,2025,windturbine,A1,newcapa,power,0
52,2060,R1,2030,windturbine,A1,newcapa,power,0
53,2050,R1,2025,windturbine,A1,newcapa,power,0
54,2045,R1,2025,gasCCGT,A1,newcapa,power,0
55,2045,R1,2040,gasboiler,A2,retrofit,residential,0
56,2045,R1,2025,windturbine,A1,retrofit,power,0
57,2025,R1,2025,gasboiler,A2,newcapa,residential,0
58,2025,R1,2025,windturbine,A1,newcapa,power,0
59,2060,R1,2050,gasboiler,A1,newcapa,residential,0
60,2060,R1,2055,gasboiler,A1,newcapa,residential,0
61,2060,R1,2055,gasboiler,A3,retrofit,residential,0
62,2030,R1,2030,gasboiler,A3,retrofit,residential,0
63,2055,R1,2045,gasboiler,A1,newcapa,residential,0
64,2030,R1,2030,heatpump,A1,retrofit,residential,0
65,2060,R1,2060,gasboiler,A1,retrofit,residential,0
66,2045,R1,2025,windturbine,A1,newcapa,power,0
67,2055,R1,2055,gasboiler,A3,retrofit,residential,0
68,2025,R1,2025,gasboiler,A1,retrofit,residential,0
69,2055,R1,2050,gasboiler,A2,newcapa,residential,0
70,2045,R1,2025,windturbine,A1,retrofit,power,0
71,2060,R1,2055,gasboiler,A3,retrofit,residential,0.277559584
72,2055,R1,2025,gasboiler,A3,retrofit,residential,0
73,2025,R1,2025,gasboiler,A3,retrofit,residential,0
74,2035,R1,2025,gasboiler,A3,retrofit,residential,0
75,2045,R1,2040,gasboiler,A2,retrofit,residential,0
76,2045,R1,2025,gasboiler,A3,retrofit,residential,8.80E-09
77,2045,R1,2045,gasboiler,A2,retrofit,residential,0
78,2055,R1,2025,gasCCGT,A1,retrofit,power,0
79,2045,R1,2025,gasboiler,A3,retrofit,residential,2.08E-05
80,2025,R1,2025,gasboiler,A2,newcapa,residential,0
81,2050,R1,2050,gasboiler,A1,retrofit,residential,0
82,2040,R1,2025,gasCCGT,A1,retrofit,power,0
83,2030,R1,2025,gasboiler,A1,retrofit,residential,2.77E-05
84,2035,R1,2030,heatpump,A1,retrofit,residential,0.020169486
85,2050,R1,2025,gasboiler,A1,retrofit,residential,0
86,2025,R1,2025,gasCCGT,A1,newcapa,power,0
87,2040,R1,2040,gasboiler,A3,newcapa,residential,0
88,2025,R1,2025,gasboiler,A3,retrofit,residential,0
89,2030,R1,2025,gasCCGT,A1,retrofit,power,1.20E-05
90,2040,R1,2040,gasboiler,A3,newcapa,residential,0
91,2030,R1,2030,windturbine,A1,retrofit,power,0
92,2035,R1,2025,windturbine,A1,newcapa,power,0
93,2040,R1,2030,heatpump,A2,retrofit,residential,0
94,2040,R1,2025,windturbine,A1,newcapa,power,0
95,2060,R1,2045,gasboiler,A2,newcapa,residential,0
96,2055,R1,2045,gasboiler,A3,retrofit,residential,0.277559584
97,2035,R1,2035,gasboiler,A1,retrofit,residential,0
98,2060,R1,2025,gasboiler,A2,newcapa,residential,0
99,2025,R1,2025,gasboiler,A3,retrofit,residential,0.309912256
100,2055,R1,2040,gasboiler,A1,newcapa,residential,0
101,2045,R1,2025,windturbine,A1,retrofit,power,0
102,2035,R1,2030,gasboiler,A3,retrofit,residential,0.465629959
103,2045,R1,2045,gasboiler,A3,retrofit,residential,0
104,2050,R1,2025,gasboiler,A3,newcapa,residential,0
105,2055,R1,2025,gasboiler,A1,retrofit,residential,0
106,2030,R1,2025,gasboiler,A2,retrofit,residential,0
107,2060,R1,2060,gasboiler,A2,retrofit,residential,0
108,2040,R1,2025,windturbine,A1,newcapa,power,0
109,2035,R1,2035,gasboiler,A2,retrofit,residential,0
110,2045,R1,2025,windturbine,A1,newcapa,power,0
111,2040,R1,2040,gasboiler,A2,retrofit,residential,0
112,2030,R1,2025,gasboiler,A1,retrofit,residential,218.040.824.693
113,2055,R1,2025,gasCCGT,A1,newcapa,power,0
114,2055,R1,2040,gasboiler,A2,newcapa,residential,0
115,2025,R1,2025,windturbine,A1,retrofit,power,0
116,2060,R1,2025,gasboiler,A2,newcapa,residential,0
117,2050,R1,2050,gasboiler,A1,retrofit,residential,0
118,2055,R1,2025,gasCCGT,A1,newcapa,power,0
119,2060,R1,2050,gasboiler,A3,newcapa,residential,0
120,2030,R1,2025,gasCCGT,A1,newcapa,power,0
121,2050,R1,2025,gasboiler,A3,newcapa,residential,0
122,2055,R1,2025,gasboiler,A3,newcapa,residential,0
123,2035,R1,2035,gasboiler,A1,newcapa,residential,0
124,2045,R1,2035,gasboiler,A1,retrofit,residential,0
125,2060,R1,2060,gasboiler,A2,retrofit,residential,0
126,2045,R1,2025,windturbine,A1,retrofit,power,0
127,2050,R1,2045,gasboiler,A1,retrofit,residential,0
128,2030,R1,2025,windturbine,A1,newcapa,power,0
129,2055,R1,2055,gasboiler,A3,retrofit,residential,0
130,2055,R1,2035,gasboiler,A1,newcapa,residential,0
131,2040,R1,2025,windturbine,A1,newcapa,power,0
132,2050,R1,2045,gasboiler,A1,newcapa,residential,0
133,2050,R1,2035,gasboiler,A3,newcapa,residential,0
134,2025,R1,2025,windturbine,A1,retrofit,power,0
135,2060,R1,2060,gasboiler,A3,retrofit,residential,0
136,2060,R1,2055,gasboiler,A1,newcapa,residential,0
137,2035,R1,2030,gasboiler,A3,retrofit,residential,109.697.994.168
138,2060,R1,2055,gasboiler,A1,newcapa,residential,0
139,2050,R1,2050,gasboiler,A3,retrofit,residential,0
140,2060,R1,2025,gasCCGT,A1,retrofit,power,0
141,2050,R1,2035,gasboiler,A2,newcapa,residential,0
142,2030,R1,2025,gasboiler,A2,retrofit,residential,0
143,2025,R1,2025,heatpump,A1,retrofit,residential,0.397976562
144,2030,R1,2030,heatpump,A2,retrofit,residential,0
145,2030,R1,2030,heatpump,A2,newcapa,residential,0
146,2060,R1,2025,gasboiler,A1,newcapa,residential,0
147,2045,R1,2040,gasboiler,A2,retrofit,residential,0
148,2060,R1,2055,gasboiler,A1,retrofit,residential,0
149,2060,R1,2040,gasboiler,A1,newcapa,residential,0
150,2040,R1,2030,heatpump,A1,retrofit,residential,0
151,2035,R1,2025,gasCCGT,A1,newcapa,power,0
152,2050,R1,2050,gasboiler,A1,retrofit,residential,0
153,2025,R1,2025,gasboiler,A2,newcapa,residential,0
154,2060,R1,2040,gasboiler,A1,newcapa,residential,0
155,2025,R1,2025,gasboiler,A3,retrofit,residential,0
156,2055,R1,2025,windturbine,A1,newcapa,power,0
157,2030,R1,2030,heatpump,A2,newcapa,residential,0
158,2060,R1,2040,gasboiler,A2,newcapa,residential,0
159,2035,R1,2030,windturbine,A1,newcapa,power,0
160,2030,R1,2030,gasboiler,A3,newcapa,residential,0
161,2055,R1,2045,gasboiler,A2,retrofit,residential,0
162,2055,R1,2025,windturbine,A1,newcapa,power,0
163,2040,R1,2025,gasCCGT,A1,newcapa,power,0
164,2040,R1,2030,windturbine,A1,newcapa,power,0
165,2055,R1,2050,gasboiler,A2,newcapa,residential,0
166,2025,R1,2025,gasboiler,A2,retrofit,residential,0
167,2050,R1,2025,windturbine,A1,newcapa,power,0
168,2050,R1,2045,gasboiler,A1,newcapa,residential,0
169,2035,R1,2030,gasboiler,A3,retrofit,residential,0
170,2055,R1,2025,gasboiler,A1,newcapa,residential,0
171,2030,R1,2025,gasCCGT,A1,retrofit,power,4.01E-05
172,2045,R1,2040,gasboiler,A1,retrofit,residential,0
173,2055,R1,2050,gasboiler,A1,retrofit,residential,0
174,2035,R1,2025,windturbine,A1,retrofit,power,0
175,2045,R1,2025,gasboiler,A3,retrofit,residential,2.64E-09
176,2050,R1,2040,gasboiler,A1,newcapa,residential,0
177,2055,R1,2050,gasboiler,A2,retrofit,residential,0.177456129
178,2055,R1,2045,gasboiler,A2,retrofit,residential,0
179,2030,R1,2030,heatpump,A1,newcapa,residential,0
180,2055,R1,2025,gasCCGT,A1,retrofit,power,0
181,2025,R1,2025,heatpump,A1,retrofit,residential,0
182,2025,R1,2025,gasboiler,A3,newcapa,residential,0
183,2040,R1,2030,heatpump,A2,retrofit,residential,0.015127114
184,2060,R1,2025,gasboiler,A2,newcapa,residential,0
185,2055,R1,2050,gasboiler,A3,retrofit,residential,0
186,2030,R1,2025,gasCCGT,A1,retrofit,power,0
187,2050,R1,2030,windturbine,A1,retrofit,power,0
188,2060,R1,2055,gasboiler,A1,retrofit,residential,122.963.123.183
189,2025,R1,2025,gasboiler,A3,newcapa,residential,0
190,2060,R1,2035,gasboiler,A1,newcapa,residential,0
191,2025,R1,2025,gasCCGT,A1,newcapa,power,0
192,2045,R1,2045,gasboiler,A2,newcapa,residential,0
193,2060,R1,2060,gasboiler,A1,retrofit,residential,0
194,2035,R1,2025,gasboiler,A1,retrofit,residential,0
195,2050,R1,2050,gasboiler,A2,retrofit,residential,0
196,2060,R1,2025,gasCCGT,A1,newcapa,power,0
197,2055,R1,2025,gasboiler,A2,newcapa,residential,0
198,2050,R1,2040,gasboiler,A3,retrofit,residential,0
199,2055,R1,2025,gasboiler,A1,retrofit,residential,0
200,2030,R1,2030,gasboiler,A3,retrofit,residential,0
201,2045,R1,2045,gasboiler,A3,retrofit,residential,0
202,2050,R1,2045,gasboiler,A2,retrofit,residential,0.847889842
203,2045,R1,2045,gasboiler,A1,newcapa,residential,0
204,2035,R1,2035,gasboiler,A1,newcapa,residential,0
205,2050,R1,2035,gasboiler,A1,newcapa,residential,0
206,2060,R1,2055,gasboiler,A2,newcapa,residential,0
207,2055,R1,2045,gasboiler,A3,retrofit,residential,0
208,2060,R1,2030,windturbine,A1,newcapa,power,0
209,2060,R1,2050,gasboiler,A2,retrofit,residential,0
210,2030,R1,2030,heatpump,A2,newcapa,residential,0
211,2045,R1,2045,gasboiler,A1,retrofit,residential,0
212,2030,R1,2030,heatpump,A2,newcapa,residential,0
213,2040,R1,2025,windturbine,A1,retrofit,power,0
214,2050,R1,2045,gasboiler,A1,retrofit,residential,894.096.394.672
215,2045,R1,2045,gasboiler,A3,newcapa,residential,0
216,2055,R1,2035,gasboiler,A2,newcapa,residential,0
217,2025,R1,2025,gasCCGT,A1,retrofit,power,0.204179162
218,2035,R1,2025,gasboiler,A1,retrofit,residential,0
219,2050,R1,2025,windturbine,A1,retrofit,power,0
220,2045,R1,2025,windturbine,A1,newcapa,power,0
221,2050,R1,2025,gasboiler,A1,newcapa,residential,0
222,2050,R1,2045,gasboiler,A2,retrofit,residential,0.25409313
223,2040,R1,2035,gasboiler,A2,retrofit,residential,0
224,2045,R1,2025,windturbine,A1,newcapa,power,0
225,2060,R1,2050,gasboiler,A2,retrofit,residential,0.177456129
226,2025,R1,2025,windturbine,A1,newcapa,power,0
227,2050,R1,2025,gasCCGT,A1,retrofit,power,0
228,2030,R1,2025,windturbine,A1,newcapa,power,0
229,2035,R1,2025,gasboiler,A2,retrofit,residential,548.880.108.392
230,2030,R1,2030,heatpump,A2,retrofit,residential,0
231,2055,R1,2055,gasboiler,A1,retrofit,residential,0
232,2035,R1,2030,heatpump,A1,retrofit,residential,0
233,2060,R1,2025,gasboiler,A3,retrofit,residential,2.88E-09
234,2055,R1,2035,gasboiler,A2,newcapa,residential,0
235,2055,R1,2040,gasboiler,A2,newcapa,residential,0
236,2050,R1,2045,gasboiler,A2,newcapa,residential,0
237,2045,R1,2040,gasboiler,A3,retrofit,residential,0.162452986
238,2035,R1,2030,heatpump,A1,retrofit,residential,0.068072009
239,2060,R1,2025,windturbine,A1,newcapa,power,0
240,2050,R1,2040,gasboiler,A3,newcapa,residential,0
241,2055,R1,2050,gasboiler,A1,newcapa,residential,0
242,2040,R1,2025,windturbine,A1,retrofit,power,0
243,2045,R1,2035,gasboiler,A2,retrofit,residential,0.230951679
244,2055,R1,2025,gasboiler,A1,retrofit,residential,1.28E-05
245,2055,R1,2040,gasboiler,A2,newcapa,residential,0
246,2045,R1,2045,gasboiler,A1,retrofit,residential,0
247,2060,R1,2055,gasboiler,A1,newcapa,residential,0
248,2050,R1,2025,gasboiler,A2,retrofit,residential,0
249,2035,R1,2025,gasboiler,A2,retrofit,residential,0
250,2055,R1,2025,gasboiler,A3,retrofit,residential,7.54E-05
251,2050,R1,2040,gasboiler,A2,retrofit,residential,0.542093511
252,2025,R1,2025,gasboiler,A1,newcapa,residential,0
253,2060,R1,2025,windturbine,A1,newcapa,power,0
254,2025,R1,2025,gasboiler,A3,newcapa,residential,0
255,2050,R1,2050,gasboiler,A2,retrofit,residential,0
256,2030,R1,2025,windturbine,A1,newcapa,power,0
257,2030,R1,2030,windturbine,A1,retrofit,power,0
258,2030,R1,2025,windturbine,A1,retrofit,power,0
259,2055,R1,2025,gasboiler,A2,retrofit,residential,2.25E-05
260,2050,R1,2030,windturbine,A1,retrofit,power,0
261,2050,R1,2045,gasboiler,A1,retrofit,residential,113.051.978.871
262,2055,R1,2025,gasboiler,A3,newcapa,residential,0
263,2040,R1,2040,gasboiler,A2,newcapa,residential,0
264,2030,R1,2025,gasboiler,A3,retrofit,residential,0
265,2035,R1,2025,gasboiler,A2,retrofit,residential,0
266,2025,R1,2025,gasboiler,A1,retrofit,residential,0
267,2030,R1,2025,gasboiler,A3,retrofit,residential,0
268,2050,R1,2045,gasboiler,A1,newcapa,residential,0
269,2025,R1,2025,gasboiler,A3,retrofit,residential,802.104.117.016
270,2045,R1,2035,gasboiler,A1,retrofit,residential,0
271,2060,R1,2025,gasboiler,A2,retrofit,residential,0
272,2060,R1,2060,gasboiler,A3,retrofit,residential,0
273,2035,R1,2025,gasboiler,A1,retrofit,residential,0
274,2055,R1,2025,windturbine,A1,newcapa,power,0
275,2035,R1,2025,gasboiler,A3,retrofit,residential,6.97E-05
276,2055,R1,2050,gasboiler,A2,retrofit,residential,0.589618261
277,2030,R1,2025,windturbine,A1,newcapa,power,0
278,2050,R1,2045,gasboiler,A3,retrofit,residential,0
279,2035,R1,2035,gasboiler,A1,newcapa,residential,0
280,2050,R1,2025,windturbine,A1,newcapa,power,0
281,2050,R1,2025,gasboiler,A1,retrofit,residential,0
282,2060,R1,2035,gasboiler,A3,newcapa,residential,0
283,2055,R1,2045,gasboiler,A2,newcapa,residential,0
284,2045,R1,2025,gasboiler,A3,retrofit,residential,0
285,2055,R1,2035,gasboiler,A1,newcapa,residential,0
286,2035,R1,2035,gasboiler,A3,retrofit,residential,0
287,2060,R1,2050,gasboiler,A3,newcapa,residential,0
288,2055,R1,2040,gasboiler,A3,newcapa,residential,0
289,2055,R1,2050,gasboiler,A3,retrofit,residential,0
290,2055,R1,2035,gasboiler,A1,newcapa,residential,0
291,2030,R1,2025,heatpump,A1,retrofit,residential,0
292,2040,R1,2035,gasboiler,A2,retrofit,residential,0.770668544
293,2030,R1,2025,windturbine,A1,retrofit,power,0
294,2060,R1,2040,gasboiler,A1,newcapa,residential,0
295,2055,R1,2045,gasboiler,A1,retrofit,residential,0.370079445
296,2050,R1,2045,gasboiler,A2,newcapa,residential,0
297,2050,R1,2050,gasboiler,A3,retrofit,residential,0
298,2055,R1,2040,gasboiler,A2,newcapa,residential,0
299,2040,R1,2025,windturbine,A1,newcapa,power,0
300,2050,R1,2045,gasboiler,A2,retrofit,residential,199.834.691.737
