,year,region,technology,agent,category,sector,LCOE
1,2025,R1,gasboiler,A1,retrofit,residential,1.716.141.519.531
2,2060,R1,gasboiler,A2,retrofit,residential,1.537.081.330.523
3,2060,R1,heatpump,A3,retrofit,residential,1.806.664.967.319
4,2035,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
5,2045,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
6,2025,R1,gassupply2,A1,retrofit,gas,13.371.742.222.236
7,2045,R1,gasboiler,A3,retrofit,residential,1.405.670.587.403
8,2035,R1,windturbine,A1,retrofit,power,2.140.572.936.318
9,2055,R1,gasboiler,A1,retrofit,residential,1.708.146.369.047
10,2060,R1,gasboiler,A1,retrofit,residential,1.537.081.330.523
11,2025,R1,heatpump,A2,retrofit,residential,1.806.664.993.345
12,2055,R1,gasboiler,A2,retrofit,residential,1.537.081.330.523
13,2060,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
14,2025,R1,gasCCGT,A1,retrofit,power,2.502.272.520.006
15,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
16,2055,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
17,2055,R1,windturbine,A1,retrofit,power,0
18,2035,R1,gasboiler,A2,retrofit,residential,1.519.028.244.157
19,2060,R1,heatpump,A1,retrofit,residential,1.756.408.782.357
20,2045,R1,gasboiler,A2,retrofit,residential,1.405.670.587.403
21,2035,R1,windturbine,A1,retrofit,power,2.140.572.936.318
22,2035,R1,heatpump,A3,retrofit,residential,1.806.664.967.319
23,2060,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
24,2045,R1,windturbine,A1,retrofit,power,0
25,2035,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
26,2045,R1,gasboiler,A1,retrofit,residential,2.127.400.233.106
27,2045,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
28,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
29,2055,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
30,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
31,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
32,2030,R1,gassupply3,A1,retrofit,gas,1.928.591.526.575
33,2030,R1,heatpump,A2,retrofit,residential,1.738.819.117.941
34,2055,R1,windturbine,A1,retrofit,power,0
35,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
36,2040,R1,gasboiler,A2,retrofit,residential,1.519.028.244.157
37,2050,R1,gasboiler,A2,retrofit,residential,1.537.081.330.523
38,2045,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
39,2055,R1,heatpump,A3,retrofit,residential,1.806.664.967.319
40,2040,R1,heatpump,A1,retrofit,residential,1.756.408.782.357
41,2025,R1,gassupply2,A1,retrofit,gas,13.371.742.222.236
42,2060,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
43,2025,R1,heatpump,A2,retrofit,residential,1.756.408.796.202
44,2045,R1,heatpump,A1,retrofit,residential,173.881.911.765
45,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
46,2030,R1,gassupply1,A1,retrofit,gas,7.469.687.438.042
47,2040,R1,gasCCGT,A1,retrofit,power,2.837.885.332.344
48,2045,R1,heatpump,A1,retrofit,residential,1.806.664.967.319
49,2035,R1,gasboiler,A3,retrofit,residential,1.405.670.587.403
50,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
51,2045,R1,windturbine,A1,retrofit,power,0
52,2025,R1,gassupply3,A1,retrofit,gas,1.927.480.746.575
53,2060,R1,heatpump,A2,retrofit,residential,173.881.911.765
54,2060,R1,windturbine,A1,retrofit,power,0
55,2045,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
56,2040,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
