year,commodity,region,prices
2050,electricity,R1,0.5654
2035,gas,R1,0.7999
2025,gas,R1,3.186
2060,CO2f,R1,0.1764
2025,heat,R1,69.447
2025,gas,R1,7.092
2040,heat,R1,24.735
2055,electricity,R1,0.5654
2055,gas,R1,19.308
2030,gas,R1,17.766
2045,electricity,R1,0.2513
2045,electricity,R1,0.2513
2035,electricity,R1,0.5654
2035,CO2f,R1,0.189
2040,CO2f,R1,0.1764
2030,CO2f,R1,0.1824
2040,electricity,R1,22.615
2035,heat,R1,16.886
2060,electricity,R1,0.2513
2055,electricity,R1,0.5654
2055,electricity,R1,10.051
2025,electricity,R1,25.774
2025,heat,R1,45.469
2050,CO2f,R1,0.1764
2025,gas,R1,18.113
2040,electricity,R1,0.2513
2050,gas,R1,0.798
2060,heat,R1,20.872
2025,gas,R1,0.822
2055,electricity,R1,0.2513
2050,heat,R1,60.234
2060,CO2f,R1,0.1764
2040,heat,R1,16.296
2045,heat,R1,20.601
2060,electricity,R1,0.2513
2030,gas,R1,17.766
2025,CO2f,R1,0.3336
2050,heat,R1,30.803
2050,gas,R1,17.752
2040,gas,R1,17.752
2035,electricity,R1,0.2513
2060,heat,R1,31.424
2045,gas,R1,17.752
2040,CO2f,R1,0.1764
2040,CO2f,R1,0.1764
2025,heat,R1,2.232
2060,heat,R1,20.872
2025,gas,R1,18.113
2045,gas,R1,70.198
2045,CO2f,R1,0.1764
2055,gas,R1,34.055
2035,electricity,R1,10.051
2060,CO2f,R1,0.1764
2040,heat,R1,0.9703
2030,heat,R1,56.511
2040,heat,R1,0.9703
2030,heat,R1,1.91
2030,electricity,R1,0.2513
2050,electricity,R1,0.2513
2030,electricity,R1,22.615
2060,electricity,R1,0.5654
2045,electricity,R1,0.5654
2045,CO2f,R1,0.1764
2045,gas,R1,0.798
2035,heat,R1,10.101
2050,gas,R1,31.379
2030,CO2f,R1,0.1824
2025,CO2f,R1,0.3336
2055,heat,R1,20.601
2050,electricity,R1,0.5654
2045,CO2f,R1,0.1764
2035,electricity,R1,22.615
2035,CO2f,R1,0.189
2050,CO2f,R1,0.1764
2030,heat,R1,11.472
2055,gas,R1,76.016
2025,heat,R1,33.791
2030,electricity,R1,0.2513
2060,electricity,R1,22.615
2030,electricity,R1,0.5654
2050,electricity,R1,0.2513
2050,heat,R1,20.601
2050,gas,R1,0.798
2030,CO2f,R1,0.1824
2045,heat,R1,30.803
2055,heat,R1,12.514
2060,gas,R1,76.016
2025,electricity,R1,54.156
2035,CO2f,R1,0.189
2025,heat,R1,33.791
2035,heat,R1,10.101
2055,CO2f,R1,0.1764
2060,CO2f,R1,0.1764
2045,gas,R1,0.798
2045,heat,R1,12.514
2050,electricity,R1,22.615
2040,CO2f,R1,0.1764
2050,heat,R1,12.514
2045,gas,R1,17.752
