,year,commodity,region,installed,technology,agent,category,sector,supply
1,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,236.838.597.541
2,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,3.229.028.963.115
3,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.448999994
4,2060,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
5,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.218.165.777.664
6,2060,CO2f,R1,2055,gasboiler,A2,retrofit,residential,2.664.434.222.336
7,2045,heat,R1,2040,gasboiler,A1,retrofit,residential,0.234
8,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,2.664.434.222.336
9,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.014396739
10,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,812.110.518.442
11,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.251
12,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
13,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,34.836.730.191
14,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.021595109
15,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.021933333
16,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.1505
17,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.35029997
18,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.26325
19,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.334666667
20,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,2.664.434.222.336
21,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,0.548999994
22,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.1505
23,2060,CO2f,R1,2055,gasboiler,A1,retrofit,residential,236.838.597.541
24,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
25,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,2.664.434.222.336
26,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,0.548999994
27,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,246.908.548.364
28,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.828.396.134
29,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.274499997
30,2040,electricity,R1,2030,windturbine,A1,retrofit,power,0.096532544
31,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
32,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.905.478.963.115
33,2040,gas,R1,2030,gassupply1,A1,retrofit,gas,0.856694992
34,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,11.356.605
35,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.336749996
36,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,3.229.028.963.115
37,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
38,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,170.455.004.509
39,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
40,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,3.552.578.963.115
41,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.1505
42,2045,heat,R1,2035,gasboiler,A2,retrofit,residential,0.498999994
43,2055,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
44,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
45,2055,heat,R1,2050,gasboiler,A1,retrofit,residential,0.351
46,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,161.272.497.745
47,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,1.776.289.481.558
48,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,0.448999994
49,2050,heat,R1,2045,gasboiler,A2,retrofit,residential,0.823499991
50,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,3.229.028.963.115
51,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.167333333
52,2025,heat,R1,2025,gasboiler,A3,retrofit,residential,0.4875
53,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,5.810.957.926.231
54,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.044306066
55,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.088612132
56,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.08E-01
57,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
58,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,261.275.476.432
59,2035,heat,R1,2030,heatpump,A2,retrofit,residential,0.301
60,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,215.268.597.541
61,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,21.656.792.268
62,2035,heat,R1,2030,heatpump,A1,retrofit,residential,0.401333333
63,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,0.224499997
64,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
65,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.502
66,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.707275023
67,2035,CO2f,R1,2030,gassupply1,A1,retrofit,gas,13.116.019.153
68,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.029537377
69,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,5.42E-03
70,2055,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
